pair_id,odia_poem_line,english_poem_line,poem_context,poet,rhyming_word_odia,rhyming_word_english,emotion_tone,odia_word_count,english_word_count,has_alliteration,line_complexity
26,କାବେରୀ କଥା କହେ,Kavery tells her story,Matira Manisha,Kalindi Charan Panigrahi,କହ,story,Neutral,5,4,False,Simple
27,ସମୁଦ୍ର କୂଳେ ବାଲି,Sand on the seashore,Pallibani,Sachidananda Routray,ଲ,seashore,Neutral,7,4,True,Simple
28,ପର୍ବତ ଶିଖରେ ବାସ,Living on mountain peaks,Shesha Basantara Chithi,Manoj Das,ସ,peaks,Neutral,6,4,False,Medium
29,ସଂସ୍କୃତିର ବାହକ,Bearer of culture,Neela Saila,Surendra Mohanty,ହକ,culture,Neutral,7,3,False,Simple
30,ଲୋକ ସଂସ୍କୃତି ଗାଥା,Saga of folk culture,Satasainya,Binod Chandra Nayak,ଥ,culture,Neutral,8,4,False,Simple
31,ଗ୍ରାମ୍ୟ ଜୀବନ ଚିତ୍ର,Picture of village life,Haa Anna,Kanhu Charan Mohanty,ର,life,Neutral,9,4,False,Simple
32,ପ୍ରକୃତି ମାଆର କୋଳ,In nature mother's lap,Paraja,Gopinath Mohanty,ଳ,lap,Neutral,7,5,False,Simple
33,ଓଡିଆ ଭାଷା ପ୍ରାଣ,Odia language is life,Jibanara Swara,Godabarish Mishra,ଣ,life,Neutral,7,4,True,Simple
34,ସଂଗୀତର ମାଧୁର୍ଯ୍ୟ,Sweetness of music,Anjali,Kuntala Kumari Sabat,ୟ,music,Positive,8,3,False,Medium
35,ସ୍ୱପ୍ନ ସମୁଦ୍ର ତୀର,On the shore of dream ocean,Mahabhava,Baishnab Charan Das,ର,ocean,Positive,8,6,True,Medium
36,ପ୍ରେମ ପୁଷ୍ପ ବିକଶିତ,Love flower bloomed,Kabi O Kabita,Nanda Kishore Bal,ତ,bloomed,Joyful,9,3,False,Medium
37,ଭକ୍ତି ତରଙ୍ଗିଣୀ,River of devotion,Muktidata,Bhikari Charan Patnaik,ଣ,devotion,Positive,5,3,False,Simple
38,ଜ୍ଞାନ ସାଗର ତରଙ୍ଗ,Waves of ocean of knowledge,Jnanaku Anveshana,Chintamani Mohanty,ଗ,knowledge,Neutral,7,5,True,Medium
39,କଳା ସାହିତ୍ୟ ସେବା,Service to art and literature,Saptama Ritu,Ramakanta Rath,ବ,literature,Neutral,7,5,True,Medium
40,ମାନବତା ବନ୍ଧନ,Bond of humanity,Sabdar Akash,Sitakanta Mahapatra,ଧନ,humanity,Neutral,4,3,False,Simple
41,ସନ୍ଧ୍ୟାର ଆଲୋକରେଖା,Light lines of evening,Nishabda Gan,Rajendra Kishore Panda,ଖ,evening,Neutral,7,4,True,Simple
42,ପ୍ରଭାତ ପଖାଳୁଣୀ,Morning bird,Aranya Fasal,Hara Prasad Das,ଣ,bird,Neutral,6,2,False,Medium
43,ଚନ୍ଦ୍ରିକା ରାତିର ସ୍ୱପ୍ନ,Dream of moonlit night,Swapna O Sadhana,Bhanuji Rao,ନ,night,Positive,10,4,False,Simple
44,ବସନ୍ତ ଋତୁର ଆଗମନ,Arrival of spring season,Rituraj,Bansidhar Mahanty,ଆଗମନ,season,Neutral,5,4,True,Medium
45,ବର୍ଷା ଧାରା ନୃତ୍ୟ,Dance of rain streams,Mukti,Jagannath Prasad Das,ୟ,streams,Neutral,7,4,False,Simple
46,ଶରତ ଚନ୍ଦ୍ରିକା,Autumn moonlight,Smruti Chitra,Bibhuti Patnaik,କ,moonlight,Neutral,5,2,False,Complex
47,ହେମନ୍ତ ଶୀତଳ ପବନ,Cool wind of winter,Pratidhwani,Kamalakanta Jena,ପବନ,winter,Positive,6,4,True,Simple
48,ଗ୍ରୀଷ୍ମ ତାପ ତିକ୍ତ,Bitter summer heat,Jharapata,Bansidhar Sarangi,ତ,heat,Sad,9,3,False,Medium
49,ପ୍ରକୃତି ଶୋଭା ଅନନ୍ତ,Nature's beauty is endless,Prakriti Prema,Biraja Bal,ତ,endless,Joyful,7,5,False,Medium
50,ଫୁଲ ଫଳ ପତ୍ର ଶୋଭା,"Beauty of flowers, fruits and leaves",Basanta Bahar,Narayan Prasad Singh,ଭ,leaves,Joyful,7,6,True,Medium
51,ନଦୀ ନିର୍ଝର ଝରଣା,"River, waterfall, spring",Jalaj Pradeep,Bichitra Nanda Das,ଝରଣ,spring,Neutral,5,3,False,Complex
52,ପର୍ବତ ଉପତ୍ୟକା ଶୋଭା,Beauty of mountains and valleys,Amrutara Santana,Pratibha Satpathy,ଭ,valleys,Joyful,6,5,False,Medium
53,ସମୁଦ୍ର ଗର୍ଜନ ମାଧୁର୍ଯ୍ୟ,Sweetness of ocean roar,Samudra Swapna,Hrushikesh Mallick,ୟ,roar,Positive,10,4,True,Simple
54,ବନ ଜଙ୍ଗଲ ଗହନ,Dense forests and woods,Banabasi,Bibhu Prasad Panda,ଗହନ,woods,Neutral,4,4,False,Simple
55,ପକ୍ଷୀ କଳରବ ସ୍ୱର,Sound of birds chirping,Pakshi Gaan,Sudarshan Acharya,ୱର,chirping,Neutral,5,4,False,Simple
56,ପଶୁ ପକ୍ଷୀ ପ୍ରାଣୀ,"Animals, birds, creatures",Ekaki Ashwa,Jagadish Mohanty,ଣ,creatures,Neutral,6,3,False,Complex
57,ଜୀବନ ଯାତ୍ରା ଗାଥା,Saga of life's journey,Jeevanara Darshan,Chandra Sekhar Rath,ଥ,journey,Neutral,7,5,False,Simple
58,ମନୁଷ୍ୟ ଜୀବନ ରହସ୍ୟ,Mystery of human life,Adim Vichar,Guru Prasad Mohanty,ୟ,life,Neutral,7,4,False,Simple
59,ସମାଜ ଚିତ୍ର ଅଙ୍କନ,Drawing social picture,Mamu,Fakir Mohan Senapati,କନ,picture,Neutral,7,3,False,Complex
60,ଇତିହାସ ପୃଷ୍ଠା ସ୍ୱର୍ଣ୍ଣ,Golden pages of history,Itihasara Alekhya,Satakadi Hota,ଣ,history,Neutral,10,4,False,Simple
61,ସଂସ୍କୃତି ପରମ୍ପରା ଧାରା,Stream of cultural tradition,Sanskruti Dharana,Kartik Chandra Rath,ର,tradition,Neutral,8,4,False,Complex
62,ଧର୍ମ ଦର୍ଶନ ତତ୍ତ୍ୱ,Principles of religion and philosophy,Darshanika,Purnachandra Das,ୱ,philosophy,Neutral,7,5,True,Complex
63,ଯୋଗ ସାଧନା ମାର୍ଗ,Path of yoga practice,Yoga Marga,Swami Bichitrananda,ଗ,practice,Neutral,7,4,True,Simple
64,ଆଧ୍ୟାତ୍ମିକ ଜ୍ଞାନ ଆଲୋକ,Light of spiritual knowledge,Adhyatma Deepika,Bhakta Kabi,କ,knowledge,Neutral,10,4,False,Complex
65,ଭକ୍ତି ଭାବେ ଭଗବାନ,God in devotion's feeling,Bhakti Rasamrita,Madhabananda,ନ,feeling,Positive,6,5,False,Medium
66,ପ୍ରେମ ଭକ୍ତି ଏକାତ୍ମ,Love and devotion united,Prema Bhakti,Gauranga Charan,ମ,united,Joyful,8,4,False,Medium
67,ସେବା ଧର୍ମ ପରମ,Service is supreme duty,Seva Dharma,Gopabandhu Choudhury,ପରମ,duty,Joyful,5,4,True,Simple
68,କର୍ମ ଯୋଗ ଫଳ,Fruit of karma yoga,Karma Yoga,Jyotirmoyee,ଫଳ,yoga,Neutral,5,4,False,Simple
69,ଜ୍ଞାନ ବୈରାଗ୍ୟ ମୁକ୍ତି,"Knowledge, detachment, liberation",Gyan Marga,Buddhadeba,ତ,liberation,Neutral,10,3,False,Complex
70,ସତ୍ୟ ଅହିଂସା ପ୍ରେମ,"Truth, non-violence, love",Satyagraha,Mahatma Gandhi,ମ,love,Joyful,7,4,False,Complex
71,ମାନବ ଧର୍ମ ବନ୍ଧୁତା,Human religion of friendship,Dharma O Manabata,Pandit Gopabandhu,ତ,friendship,Positive,7,4,False,Complex
72,ସାଧୁ ସନ୍ଥ ସେବା,Service to saints and sages,Sant Seva,Bhakta Charan,ବ,sages,Neutral,6,5,True,Medium
73,ପ୍ରଭୁ କୃପା ଅନନ୍ତ,Lord's grace is endless,Kripa Sindhu,Krishna Das,ତ,endless,Positive,6,5,False,Simple
74,ଈଶ୍ୱର ପ୍ରେମ ଅମୃତ,God's love is nectar,Premamrita,Premananda,ତ,nectar,Joyful,7,5,False,Simple
75,ଆତ୍ମା ପରମାତ୍ମା ମିଳନ,Union of soul and supreme soul,Atma Darshan,Yogeshwara,ଳନ,soul,Joyful,7,6,True,Medium
76,ମନ ବଂଶୀ ବଜେ,The mind's flute plays,Mana Banshi,Manoj Kumar,ବଜ,plays,Positive,4,5,False,Simple
77,ପ୍ରାଣେ ପ୍ରାଣେ ପ୍ରଭୁ,Lord in every soul,Prana Prabhu,Jagannath Das,ରଭ,soul,Neutral,8,4,False,Simple
78,ଚେତନା ଚିରଞ୍ଜୀବ,Consciousness eternal,Chetana Dhara,Chintamani Behera,ବ,eternal,Neutral,6,2,False,Complex
79,ଜୀବନ ମୃତ୍ୟୁ ଚକ୍ର,Cycle of life and death,Jeevan Mrityu,Mritunjaya Rath,ର,death,Melancholy,7,5,False,Medium
80,କାଳ ଚକ୍ର ଗତି,Movement of time's wheel,Kala Chakra,Kalicharan Patnaik,ଗତ,wheel,Neutral,5,5,False,Medium
81,ବ୍ରହ୍ମାଣ୍ଡ ରହସ୍ୟ ଗାଥା,Saga of cosmic mystery,Brahmanda Rahasya,Brahmanda,ଥ,mystery,Neutral,9,4,False,Simple
82,ସୃଷ୍ଟି ସ୍ଥିତି ପ୍ରଳୟ,"Creation, sustenance, dissolution",Srishti Rahasya,Srustikarta,ରଳୟ,dissolution,Positive,8,3,False,Complex
83,ପଞ୍ଚଭୂତ ପଞ୍ଚତତ୍ତ୍ୱ,"Five elements, five principles",Pancha Bhuta,Tattwabodhini,ୱ,principles,Neutral,7,4,True,Complex
84,ପ୍ରକୃତି ପୁରୁଷ ମିଳନ,Union of nature and spirit,Yugala Milan,Prakriti Purusha,ଳନ,spirit,Positive,8,5,False,Medium
85,ସଂସାର ସାଗର ତରଣ,Crossing the ocean of world,Samsara Sagara,Sansari,ତରଣ,world,Neutral,6,5,True,Medium
86,ମାୟା ମୋହ ବନ୍ଧନ,Bondage of illusion and attachment,Maya Moha,Mayabadhi,ଧନ,attachment,Positive,6,5,True,Medium
87,ବେଦାନ୍ତ ତତ୍ତ୍ୱ ଜ୍ଞାନ,Knowledge of Vedanta principles,Vedanta Darshan,Vedantabadhi,ନ,principles,Neutral,10,4,False,Complex
88,ଉପନିଷଦ୍ ଗଭୀର ଭାବ,Deep thoughts of Upanishads,Upanishad Bhavana,Upanishad,ବ,upanishads,Neutral,6,4,False,Medium
89,ଗୀତା ଉପଦେଶ ମଧୁର,Sweet teachings of Gita,Gita Madhuri,Gitabadhi,ର,gita,Positive,6,4,False,Simple
90,ରାମାୟଣ ମହାକାବ୍ୟ,Great epic Ramayana,Ramayana Kavya,Valmiki,ୟ,ramayana,Joyful,7,3,False,Medium
91,ମହାଭାରତ ଗାଥା,Saga of Mahabharata,Mahabharata,Vyasa,ଥ,mahabharata,Neutral,5,3,False,Medium
92,ପୁରାଣ ଇତିହାସ କଥା,Stories of Puranas and history,Purana Itihasa,Puranik,କଥ,history,Neutral,7,5,False,Medium
93,ସନାତନ ଧର୍ମ ପଥ,Path of eternal religion,Sanatana Dharma,Sanatani,ପଥ,religion,Neutral,5,4,False,Medium
94,ବେଦ ବାଣୀ ଅମୃତ,Nectar of Vedic words,Veda Amrita,Vedavani,ତ,words,Neutral,6,4,False,Simple
95,ମନ୍ତ୍ର ତନ୍ତ୍ର ଯନ୍ତ୍ର ବିଦ୍ୟା,"Knowledge of mantras, tantras, yantras",Mantra Vidya,Tantrik,ୟ,yantras,Neutral,12,5,False,Complex
96,ଯୋଗ ତପ ସାଧନା,Practice of yoga and penance,Yoga Sadhana,Yogeshwari,ଧନ,penance,Neutral,5,5,True,Medium
97,ଧ୍ୟାନ ସମାଧି ମୁକ୍ତି,"Meditation, samadhi, liberation",Dhyana Marga,Dhyan Yog,ତ,liberation,Neutral,8,3,False,Complex
98,ପ୍ରଣବ ଓଁକାର ଧ୍ୱନି,Sound of primal Omkara,Omkara Dhwani,Pranava,ୱନ,omkara,Neutral,7,4,True,Simple
99,ଗାୟତ୍ରୀ ମନ୍ତ୍ର ମହିମା,Glory of Gayatri mantra,Gayatri Mahima,Gayatri,ମ,mantra,Joyful,8,4,True,Simple
100,ସୂର୍ଯ୍ୟ ଉପାସନା ପଦ୍ଧତି,Method of sun worship,Surya Puja,Suryopasaka,ଧତ,worship,Positive,8,4,False,Simple
101,ଚନ୍ଦ୍ର ତାରା ନମସ୍କାର,Salutations to moon and stars,Jyotish Chintan,Chandra Tara,ର,stars,Neutral,8,5,True,Medium
102,ପୃଥିବୀ ମାତା ବନ୍ଦନା,Worship of mother earth,Bhu Vandana,Prithivi Putra,ଦନ,earth,Positive,7,4,False,Simple
103,ଜଳ ଦେବତା ଆରାଧନା,Worship of water deity,Jala Puja,Jala Devata,ଧନ,deity,Positive,5,4,True,Simple
104,ଅଗ୍ନି ଦେବ ପୂଜନ,Worship of fire god,Agni Puja,Agnihotri,ଜନ,god,Positive,6,4,False,Simple
105,ବାୟୁ ଦେବ ସ୍ତୁତି,Praise of wind god,Vayu Stuti,Vayudev,ତ,god,Joyful,7,4,False,Simple
106,ଆକାଶ ଦେବ ବନ୍ଦନ,Salutation to sky god,Akasha Vandana,Akasha,ଦନ,god,Positive,6,4,True,Simple
107,ପଞ୍ଚଦେବ ଉପାସନା,Worship of five deities,Pancha Devata,Panchadevata,ସନ,deities,Positive,5,4,False,Simple
108,ଦଶାବତାର କଥା,Story of ten incarnations,Avatar Katha,Dasavatara,କଥ,incarnations,Neutral,4,4,False,Medium
109,ରାମ ଅବତାର ମାହାତ୍ମ୍ୟ,Glory of Rama incarnation,Rama Charita,Ramabhakta,ୟ,incarnation,Joyful,9,4,False,Medium
110,କୃଷ୍ଣ ଲୀଳା ମଧୁର,Sweet plays of Krishna,Krishna Leela,Krishna Prem,ର,krishna,Joyful,7,4,False,Simple
111,ବୁଦ୍ଧ ଅବତାର ଦୟା,Compassion of Buddha incarnation,Buddha Darshan,Bauddha,ଦୟ,incarnation,Positive,6,4,False,Complex
112,କଳ୍କି ଅବତାର ଆଶା,Hope of Kalki incarnation,Kalki Avatar,Kalki,ଆଶ,incarnation,Positive,5,4,False,Medium
113,ଦୁର୍ଗା ମାଁ ଶକ୍ତି ସ୍ୱରୂପା,Mother Durga embodiment of power,Durga Stuti,Shakta,ପ,power,Neutral,9,5,False,Medium
114,ଲକ୍ଷ୍ମୀ ମାଁ ଧନ ଦାତ୍ରୀ,Mother Lakshmi giver of wealth,Lakshmi Vandana,Lakshmi Bhakta,ର,wealth,Joyful,8,5,False,Medium
115,ସରସ୍ୱତୀ ମାଁ ଜ୍ଞାନ ଦାୟିନୀ,Mother Saraswati giver of knowledge,Saraswati Prarthana,Vidya Dayini,ନ,knowledge,Positive,9,5,False,Complex
116,କାଳୀ ମାଁ ଭୟ ଘାତିନୀ,Mother Kali destroyer of fear,Kali Stotra,Kalibhakta,ନ,fear,Melancholy,7,5,False,Medium
117,ସତୀ ମାଁ ପତିବ୍ରତା,Mother Sati the chaste,Sati Charita,Satibhakta,ରତ,chaste,Neutral,5,4,False,Simple
118,ପାର୍ବତୀ ମାଁ ହିମାଳୟା,Mother Parvati daughter of Himalayas,Parvati Stuti,Parvati Prem,ଳୟ,himalayas,Neutral,7,5,False,Complex
119,ସୀତା ମାଁ ଧର୍ମପତ୍ନୀ,Mother Sita the righteous wife,Sita Mahima,Sita Bhakta,ନ,wife,Neutral,6,5,False,Medium
120,ରାଧା ପ୍ରେମ ମୂର୍ତ୍ତିମନ୍ତୀ,Radha personification of love,Radha Leela,Radha Prem,ତ,love,Joyful,11,4,False,Complex
121,ରୁକ୍ମିଣୀ ଭାବ ଭକ୍ତି,Rukmini's emotion and devotion,Rukmini Charita,Rukmini Bhakta,ତ,devotion,Positive,8,5,False,Complex
122,ଦ୍ରୌପଦୀ ସତୀ ସାଧ୍ୱୀ,Draupadi the chaste and virtuous,Draupadi Charita,Draupadi Bhakta,ୱ,virtuous,Joyful,7,5,False,Medium
123,କୁନ୍ତୀ ମାତା ତପସ୍ୱିନୀ,Mother Kunti the ascetic,Kunti Stuti,Kunti Bhakta,ନ,ascetic,Neutral,8,4,False,Medium
124,ଗାନ୍ଧାରୀ ପତିବ୍ରତା,Gandhari the devoted wife,Gandhari Charita,Gandhari Bhakta,ରତ,wife,Positive,7,4,False,Medium
125,ସୁଭଦ୍ରା ଭାବ ମାଧୁର୍ଯ୍ୟ,Subhadra's emotional sweetness,Subhadra Mahima,Subhadra Bhakta,ୟ,sweetness,Joyful,10,4,True,Complex
126,ଦେବୀ ଭାଗବତ କଥା,Stories of Devi Bhagavata,Devi Bhagavata,Devi Bhakta,କଥ,bhagavata,Neutral,5,4,False,Medium
127,ଶିବ ପୁରାଣ ମାହାତ୍ମ୍ୟ,Glory of Shiva Purana,Shiva Purana,Shiva Bhakta,ୟ,purana,Joyful,10,4,False,Simple
128,ବିଷ୍ଣୁ ପୁରାଣ ଲୀଳା,Plays of Vishnu Purana,Vishnu Purana,Vishnu Bhakta,ଳ,purana,Positive,8,4,True,Simple
129,ବ୍ରହ୍ମା ପୁରାଣ ସୃଷ୍ଟି,Creation in Brahma Purana,Brahma Purana,Brahma Bhakta,ଟ,purana,Positive,9,4,False,Medium
130,ଗରୁଡ ପୁରାଣ ଉଡ୍ଡୟନ,Flight in Garuda Purana,Garuda Purana,Garuda Bhakta,ଡୟନ,purana,Neutral,7,4,False,Simple
131,ପଦ୍ମ ପୁରାଣ ପଦ୍ମିନୀ,Lotus in Padma Purana,Padma Purana,Padma Bhakta,ନ,purana,Neutral,8,4,True,Simple
132,ସ୍କନ୍ଧ ପୁରାଣ କାର୍ତ୍ତିକେୟ,Kartikeya in Skanda Purana,Skanda Purana,Skanda Bhakta,ୟ,purana,Neutral,12,4,False,Medium
133,ମାର୍କଣ୍ଡେୟ ପୁରାଣ ଚରିତ,Character in Markandeya Purana,Markandeya Purana,Markandeya,ତ,purana,Neutral,10,4,False,Complex
134,ଅଗ୍ନି ପୁରାଣ ଜ୍ୱାଳା,Flame in Agni Purana,Agni Purana,Agni Puranik,ଳ,purana,Neutral,8,4,False,Simple
135,ଭବିଷ୍ୟ ପୁରାଣ ଭବିଷ୍ୟ,Future in Bhavishya Purana,Bhavishya Purana,Bhavishya,ୟ,purana,Neutral,9,4,False,Medium
136,ବ୍ରହ୍ମବୈବର୍ତ୍ତ ପୁରାଣ ରହସ୍ୟ,Mystery in Brahmavaivarta Purana,Brahmavaivarta Purana,Brahmavaivarta,ୟ,purana,Neutral,11,4,False,Complex
137,ଲିଙ୍ଗ ପୁରାଣ ଶିବଲିଙ୍ଗ,Shivalinga in Linga Purana,Linga Purana,Linga Bhakta,ଗ,purana,Neutral,10,4,False,Medium
138,ବରାହ ପୁରାଣ ବରାହ,Boar in Varaha Purana,Varaha Purana,Varaha Bhakta,ହ,purana,Neutral,7,4,False,Simple
139,କୂର୍ମ ପୁରାଣ କୂର୍ମ,Tortoise in Kurma Purana,Kurma Purana,Kurma Bhakta,ମ,purana,Neutral,9,4,False,Medium
140,ମତ୍ସ୍ୟ ପୁରାଣ ମତ୍ସ୍ୟ,Fish in Matsya Purana,Matsya Purana,Matsya Bhakta,ୟ,purana,Neutral,9,4,False,Simple
141,ବାମନ ପୁରାଣ ବାମନ,Dwarf in Vamana Purana,Vamana Purana,Vamana Bhakta,ମନ,purana,Neutral,7,4,False,Simple
142,ନାରଦ ପୁରାଣ ନାରଦ,Narada in Narada Purana,Narada Purana,Narada Bhakta,ରଦ,purana,Neutral,7,4,True,Simple
143,ପୁରାଣ ଅଷ୍ଟାଦଶ ମହିମା,Glory of eighteen Puranas,Ashtadasa Purana,Puranik,ମ,puranas,Joyful,8,4,False,Medium
144,ଉପପୁରାଣ କଥା ମଧୁର,Sweet stories of Upa-Puranas,Upa Purana,Upapuranik,ର,puranas,Positive,6,5,True,Complex
145,ସ୍ଥଳ ପୁରାଣ ମାହାତ୍ମ୍ୟ,Glory of Sthala Puranas,Sthala Purana,Sthalapuranik,ୟ,puranas,Joyful,10,4,False,Simple
146,ଜଗନ୍ନାଥ ପୁରାଣ ଲୀଳା,Plays of Jagannath Purana,Jagannath Purana,Jagannath Bhakta,ଳ,purana,Positive,8,4,True,Medium
147,ପୁରୀ ଧାମ ମାହାତ୍ମ୍ୟ,Glory of Puri Dham,Puri Mahima,Puri Vasi,ୟ,dham,Joyful,9,4,False,Simple
148,ଶ୍ରୀକ୍ଷେତ୍ର ବ୍ରହ୍ମପୁର,Srikhetra the Brahmapur,Srikhetra Mahatmya,Srikhetra,ର,brahmapur,Neutral,10,3,False,Complex
149,ନୀଳାଚଳ ନୀଳମାଧବ,Nilachal the Nilamadhava,Nilachala Mahima,Nilachala,ଧବ,nilamadhava,Neutral,6,3,True,Complex
150,ବଡଦାଣ୍ଡ ଭକ୍ତି ପଥ,Bada Danda the path of devotion,Bada Danda,Badadanda,ପଥ,devotion,Positive,6,6,True,Medium
151,ସିଂହଦ୍ୱାର ଦର୍ଶନ,Darshan at Singhdwara,Singhadwara Darshan,Singhadwara,ଶନ,singhdwara,Neutral,6,3,False,Complex
152,ଭୋଗ ମଣ୍ଡପ ଭୋଗାରୋପଣ,Offering at Bhog Mandap,Bhog Mandap,Bhogamandapa,ପଣ,mandap,Neutral,8,4,False,Simple
153,ରତ୍ନ ସିଂହାସନ ବିରାଜେ,Enthroned on Ratna Singhasana,Ratna Singhasana,Ratnasinghasana,ଜ,singhasana,Neutral,8,4,False,Complex
154,ଚକ୍ର ନାରାୟଣ ଦର୍ଶନ,Darshan of Chakra Narayan,Chakra Narayan,Chakranarayana,ଶନ,narayan,Neutral,7,4,False,Medium
155,ସୁଦର୍ଶନ ଚକ୍ର ଧାରୀ,Bearer of Sudarshana Chakra,Sudarshana Chakra,Sudarshan,ର,chakra,Neutral,7,4,False,Medium
156,ବଳଭଦ୍ର ଦାଉ ଧାରୀ,Balabhadra holding the plough,Balabhadra Charita,Balabhadra,ର,plough,Neutral,6,4,False,Complex
157,ସୁଭଦ୍ରା ମାଧୁର୍ଯ୍ୟ ମୟୀ,Subhadra full of sweetness,Subhadra Charita,Subhadra,ମୟ,sweetness,Positive,9,4,True,Medium
158,ଜଗନ୍ନାଥ ସ୍ୱାମୀ ନୟନ,Lord Jagannath the eye,Jagannath Darshan,Jagannath Swami,ନୟନ,eye,Neutral,7,4,False,Simple
159,ଦାରୁ ବ୍ରହ୍ମ ପରମ,The wooden Brahman supreme,Daru Brahma,Daru Brahma,ପରମ,supreme,Joyful,6,4,False,Medium
160,ନବକଳେବର ମହୋତ୍ସବ,Festival of Nabakalebara,Nabakalebara,Nabakalebara,ସବ,nabakalebara,Positive,5,3,False,Complex
161,ରଥଯାତ୍ରା ମହାପ୍ରଭୁ,Rath Yatra of the Great Lord,Rath Yatra,Rathayatra,ରଭ,lord,Joyful,6,6,False,Medium
162,ବଡ଼ତଡ଼ୁଆ ନୀତି,Ritual of Badatadua,Bada Tadua,Badatadua,ତ,badatadua,Neutral,5,3,False,Medium
