element_id,odia_element,english_equivalent,element_type,poetic_context,usage_example_odia,usage_example_english,complexity_level
21,ସବୁଜ ଭାଦ୍ରବ,Green Bhadraba,month,Lush green landscapes,ସବୁଜ ଭାଦ୍ରବ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Green Bhadraba month, nature is beautiful",medium
22,ଉତ୍ସବ କାର୍ତ୍ତିକ,Festive Kartika,month,Month of celebrations,ଉତ୍ସବ କାର୍ତ୍ତିକ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Festive Kartika month, nature is beautiful",medium
23,ଶାନ୍ତ ପୌଷ,Peaceful Pousha,month,Tranquil winter month,ଶାନ୍ତ ପୌଷ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Peaceful Pousha month, nature is beautiful",medium
24,ପୁଷ୍ପିତ ଚୈତ୍ର,Floral Chaitra,month,Flowering new beginnings,ପୁଷ୍ପିତ ଚୈତ୍ର ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Floral Chaitra month, nature is beautiful",medium
25,ତାପଦଗ୍ଧ ଜ୍ୟେଷ୍ଠ,Heat-scorched Jyeshtha,month,Burning summer days,ତାପଦଗ୍ଧ ଜ୍ୟେଷ୍ଠ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Heat-scorched Jyeshtha month, nature is beautiful",medium
26,ଝରଝର ଆଷାଢ଼,Drizzling Ashadha,month,Continuous monsoon drizzles,ଝରଝର ଆଷାଢ଼ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Drizzling Ashadha month, nature is beautiful",medium
27,ମେଘମାଳା ଶ୍ରାବଣ,Cloud-series Sravana,month,Chain of monsoon clouds,ମେଘମାଳା ଶ୍ରାବଣ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Cloud-series Sravana month, nature is beautiful",medium
28,ହରିତିମା ଭାଦ୍ରବ,Verdure Bhadraba,month,Deep green vegetation,ହରିତିମା ଭାଦ୍ରବ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Verdure Bhadraba month, nature is beautiful",medium
29,ନୀଳାକାଶ ଆଶ୍ୱିନ,Blue-sky Aswina,month,Clear blue autumn skies,ନୀଳାକାଶ ଆଶ୍ୱିନ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Blue-sky Aswina month, nature is beautiful",medium
30,ଦୀପମାଳା କାର୍ତ୍ତିକ,Lamp-series Kartika,month,Rows of festival lamps,ଦୀପମାଳା କାର୍ତ୍ତିକ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Lamp-series Kartika month, nature is beautiful",medium
31,ପଲ୍ଲବିତ ମାର୍ଗଶିର,Sprouting Margashira,month,New growth in winter,ପଲ୍ଲବିତ ମାର୍ଗଶିର ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Sprouting Margashira month, nature is beautiful",medium
32,ତୁଷାରବତୀ ପୌଷ,Frosty Pousha,month,Frost-covered mornings,ତୁଷାରବତୀ ପୌଷ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Frosty Pousha month, nature is beautiful",medium
33,ପୁଷ୍ପଭରା ମାଘ,Flower-laden Magha,month,Abundance of flowers,ପୁଷ୍ପଭରା ମାଘ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Flower-laden Magha month, nature is beautiful",medium
34,ବର୍ଣ୍ଣବିହ୍ୱଳ ଫାଲ୍ଗୁନ,Color-dazzled Phalguna,month,Dazzling spring colors,ବର୍ଣ୍ଣବିହ୍ୱଳ ଫାଲ୍ଗୁନ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Color-dazzled Phalguna month, nature is beautiful",medium
35,ନବୀନ ଚୈତ୍ର,New Chaitra,month,Fresh beginnings of year,ନବୀନ ଚୈତ୍ର ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In New Chaitra month, nature is beautiful",medium
36,ସୂର୍ଯ୍ୟତାପୀ ବୈଶାଖ,Sun-heated Baisakha,month,Sun-drenched summer,ସୂର୍ଯ୍ୟତାପୀ ବୈଶାଖ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Sun-heated Baisakha month, nature is beautiful",medium
37,ବଜ୍ରପାତୀ ଆଷାଢ଼,Thunder-struck Ashadha,month,Thunderstorm month,ବଜ୍ରପାତୀ ଆଷାଢ଼ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Thunder-struck Ashadha month, nature is beautiful",medium
38,କୂଜିତ ଶ୍ରାବଣ,Twittering Sravana,month,Bird songs in rains,କୂଜିତ ଶ୍ରାବଣ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Twittering Sravana month, nature is beautiful",medium
39,ପଲ୍ଲବିତ ଭାଦ୍ରବ,Foliated Bhadraba,month,Leafy green month,ପଲ୍ଲବିତ ଭାଦ୍ରବ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Foliated Bhadraba month, nature is beautiful",medium
40,ସୁସ୍ଥିର ଆଶ୍ୱିନ,Calm Aswina,month,Peaceful autumn,ସୁସ୍ଥିର ଆଶ୍ୱିନ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Calm Aswina month, nature is beautiful",medium
41,ଆଲୋକିତ କାର୍ତ୍ତିକ,Illuminated Kartika,month,Well-lit festival month,ଆଲୋକିତ କାର୍ତ୍ତିକ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Illuminated Kartika month, nature is beautiful",medium
42,ନୀରବ ମାର୍ଗଶିର,Silent Margashira,month,Quiet winter month,ନୀରବ ମାର୍ଗଶିର ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Silent Margashira month, nature is beautiful",medium
43,ହିମଶୀତଳ ପୌଷ,Ice-cool Pousha,month,Freezing cold days,ହିମଶୀତଳ ପୌଷ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Ice-cool Pousha month, nature is beautiful",medium
44,ମଧୁରିମା ମାଘ,Sweetness Magha,month,Sweet harvest time,ମଧୁରିମା ମାଘ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Sweetness Magha month, nature is beautiful",medium
45,ଉଲ୍ଲାସୀ ଫାଲ୍ଗୁନ,Joyous Phalguna,month,Happy spring festival,ଉଲ୍ଲାସୀ ଫାଲ୍ଗୁନ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Joyous Phalguna month, nature is beautiful",medium
46,ପୁନର୍ଜନ୍ମା ଚୈତ୍ର,Reborn Chaitra,month,Renewal and rebirth,ପୁନର୍ଜନ୍ମା ଚୈତ୍ର ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Reborn Chaitra month, nature is beautiful",medium
47,ଅଗ୍ନିମୟ ବୈଶାଖ,Fiery Baisakha,month,Fire-like summer heat,ଅଗ୍ନିମୟ ବୈଶାଖ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Fiery Baisakha month, nature is beautiful",medium
48,ଜଳଧାରା ଆଷାଢ଼,Water-stream Ashadha,month,Flowing rainwater,ଜଳଧାରା ଆଷାଢ଼ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Water-stream Ashadha month, nature is beautiful",medium
49,ମେଘଗର୍ଜନ ଶ୍ରାବଣ,Cloud-thundering Sravana,month,Thundering clouds,ମେଘଗର୍ଜନ ଶ୍ରାବଣ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Cloud-thundering Sravana month, nature is beautiful",medium
50,ପଲ୍ଲବପୁଞ୍ଜ ଭାଦ୍ରବ,Leaf-cluster Bhadraba,month,Clusters of new leaves,ପଲ୍ଲବପୁଞ୍ଜ ଭାଦ୍ରବ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Leaf-cluster Bhadraba month, nature is beautiful",medium
51,ସ୍ୱଚ୍ଛନ୍ଦ ଆଶ୍ୱିନ,Free Aswina,month,Carefree autumn days,ସ୍ୱଚ୍ଛନ୍ଦ ଆଶ୍ୱିନ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Free Aswina month, nature is beautiful",medium
52,ମେଘମୁକ୍ତ ବୈଶାଖ,Cloud-free Baisakha,month,Clear summer skies,ମେଘମୁକ୍ତ ବୈଶାଖ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Cloud-free Baisakha month, nature is beautiful",medium
53,ଝରଝର ଶ୍ରାବଣ,Drizzling Sravana,month,Continuous rain drizzles,ଝରଝର ଶ୍ରାବଣ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Drizzling Sravana month, nature is beautiful",medium
54,ପୁଷ୍ପଗନ୍ଧୀ ଫାଲ୍ଗୁନ,Flower-fragrant Phalguna,month,Scented spring air,ପୁଷ୍ପଗନ୍ଧୀ ଫାଲ୍ଗୁନ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Flower-fragrant Phalguna month, nature is beautiful",medium
55,ହିମାଚ୍ଛାଦିତ ପୌଷ,Snow-covered Pousha,month,Snow-clad winter,ହିମାଚ୍ଛାଦିତ ପୌଷ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Snow-covered Pousha month, nature is beautiful",medium
56,ଉଷାକାଳୀନ ମାର୍ଗଶିର,Dawn-like Margashira,month,Early winter mornings,ଉଷାକାଳୀନ ମାର୍ଗଶିର ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Dawn-like Margashira month, nature is beautiful",medium
57,ସନ୍ଧ୍ୟାରକ୍ତ ଆଶ୍ୱିନ,Evening-red Aswina,month,Crimson autumn evenings,ସନ୍ଧ୍ୟାରକ୍ତ ଆଶ୍ୱିନ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Evening-red Aswina month, nature is beautiful",medium
58,ଦୀପପୁଞ୍ଜ କାର୍ତ୍ତିକ,Lamp-cluster Kartika,month,Clusters of festival lamps,ଦୀପପୁଞ୍ଜ କାର୍ତ୍ତିକ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Lamp-cluster Kartika month, nature is beautiful",medium
59,ତୁଷାରଧବଳ ମାଘ,Frost-white Magha,month,Frost-whitened mornings,ତୁଷାରଧବଳ ମାଘ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Frost-white Magha month, nature is beautiful",medium
60,ପଲ୍ଲବଶ୍ୟାମଳ ଭାଦ୍ରବ,Leaf-green Bhadraba,month,Leafy green shades,ପଲ୍ଲବଶ୍ୟାମଳ ଭାଦ୍ରବ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Leaf-green Bhadraba month, nature is beautiful",medium
61,ଫଳଭାରୀ ଜ୍ୟେଷ୍ଠ,Fruit-laden Jyeshtha,month,Heavy with fruits,ଫଳଭାରୀ ଜ୍ୟେଷ୍ଠ ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Fruit-laden Jyeshtha month, nature is beautiful",medium
62,ଶୀତଳଛାୟା ଚୈତ୍ର,Cool-shade Chaitra,month,Cool shaded areas,ଶୀତଳଛାୟା ଚୈତ୍ର ମାସରେ ପ୍ରକୃତି ସୁନ୍ଦର,"In Cool-shade Chaitra month, nature is beautiful",medium
63,|,caesura,punctuation,Poetic pause or break,ପଦ୍ୟ ଧାରା | ଭାବର ବିରାମ,Poetic line | pause in emotion,basic
64,||,major_caesura,punctuation,Major poetic break,ପଦ୍ୟ ଧାରା || ଭାବର ବିରାମ,Poetic line || pause in emotion,basic
65,।,full_stop,punctuation,Line ending punctuation,ପଦ୍ୟ ଧାରା । ଭାବର ବିରାମ,Poetic line । pause in emotion,basic
66,॥,double_full_stop,punctuation,Verse ending punctuation,ପଦ୍ୟ ଧାରା ॥ ଭାବର ବିରାମ,Poetic line ॥ pause in emotion,basic
67,",",comma,punctuation,Short pause in poetry,"ପଦ୍ୟ ଧାରା , ଭାବର ବିରାମ","Poetic line , pause in emotion",basic
68,;,semi_colon,punctuation,Medium poetic pause,ପଦ୍ୟ ଧାରା ; ଭାବର ବିରାମ,Poetic line ; pause in emotion,basic
69,-,dash,punctuation,Poetic separation,ପଦ୍ୟ ଧାରା - ଭାବର ବିରାମ,Poetic line - pause in emotion,basic
70,॰,abbreviation,punctuation,Poetic abbreviation mark,ପଦ୍ୟ ଧାରା ॰ ଭାବର ବିରାମ,Poetic line ॰ pause in emotion,basic
71,…,ellipsis,punctuation,Trailing off in thought,ପଦ୍ୟ ଧାରା … ଭାବର ବିରାମ,Poetic line … pause in emotion,basic
72,—,em_dash,punctuation,Emphatic separation,ପଦ୍ୟ ଧାରା — ଭାବର ବିରାମ,Poetic line — pause in emotion,basic
73,~,tilde,punctuation,Approximation or rhythm,ପଦ୍ୟ ଧାରା ~ ଭାବର ବିରାମ,Poetic line ~ pause in emotion,basic
74,·,middle_dot,punctuation,Poetic separation dot,ପଦ୍ୟ ଧାରା · ଭାବର ବିରାମ,Poetic line · pause in emotion,basic
75,•,bullet,punctuation,Poetic list marker,ପଦ୍ୟ ଧାରା • ଭାବର ବିରାମ,Poetic line • pause in emotion,basic
76,∗,asterisk,punctuation,Footnotes in poetry,ପଦ୍ୟ ଧାରା ∗ ଭାବର ବିରାମ,Poetic line ∗ pause in emotion,basic
77,∴,therefore,punctuation,Logical poetic flow,ପଦ୍ୟ ଧାରା ∴ ଭାବର ବିରାମ,Poetic line ∴ pause in emotion,basic
78,∵,because,punctuation,Causal poetic connection,ପଦ୍ୟ ଧାରା ∵ ଭାବର ବିରାମ,Poetic line ∵ pause in emotion,basic
79,:,colon,punctuation,Explanation or list,ପଦ୍ୟ ଧାରା : ଭାବର ବିରାମ,Poetic line : pause in emotion,basic
80,!,exclamation,punctuation,Emotional emphasis,ପଦ୍ୟ ଧାରା ! ଭାବର ବିରାମ,Poetic line ! pause in emotion,basic
81,?,question,punctuation,Rhetorical questioning,ପଦ୍ୟ ଧାରା ? ଭାବର ବିରାମ,Poetic line ? pause in emotion,basic
82,(,open_parenthesis,punctuation,Poetic aside,ପଦ୍ୟ ଧାରା ( ଭାବର ବିରାମ,Poetic line ( pause in emotion,basic
83,),close_parenthesis,punctuation,Closing poetic aside,ପଦ୍ୟ ଧାରା ) ଭାବର ବିରାମ,Poetic line ) pause in emotion,basic
84,[,open_bracket,punctuation,Poetic insertion,ପଦ୍ୟ ଧାରା [ ଭାବର ବିରାମ,Poetic line [ pause in emotion,basic
85,],close_bracket,punctuation,Close poetic insertion,ପଦ୍ୟ ଧାରା ] ଭାବର ବିରାମ,Poetic line ] pause in emotion,basic
86,{,open_brace,punctuation,Poetic grouping,ପଦ୍ୟ ଧାରା { ଭାବର ବିରାମ,Poetic line { pause in emotion,basic
87,},close_brace,punctuation,Close poetic grouping,ପଦ୍ୟ ଧାରା } ଭାବର ବିରାମ,Poetic line } pause in emotion,basic
88,«,left_guillemet,punctuation,Poetic quotation,ପଦ୍ୟ ଧାରା « ଭାବର ବିରାମ,Poetic line « pause in emotion,basic
89,»,right_guillemet,punctuation,Close poetic quotation,ପଦ୍ୟ ଧାରା » ଭାବର ବିରାମ,Poetic line » pause in emotion,basic
90,‹,single_left_guillemet,punctuation,Single poetic quote,ପଦ୍ୟ ଧାରା ‹ ଭାବର ବିରାମ,Poetic line ‹ pause in emotion,basic
91,›,single_right_guillemet,punctuation,Close single poetic quote,ପଦ୍ୟ ଧାରା › ଭାବର ବିରାମ,Poetic line › pause in emotion,basic
92,§,section,punctuation,Poetic section marker,ପଦ୍ୟ ଧାରା § ଭାବର ବିରାମ,Poetic line § pause in emotion,basic
93,¶,paragraph,punctuation,Poetic paragraph marker,ପଦ୍ୟ ଧାରା ¶ ଭାବର ବିରାମ,Poetic line ¶ pause in emotion,basic
94,†,dagger,punctuation,Poetic footnote,ପଦ୍ୟ ଧାରା † ଭାବର ବିରାମ,Poetic line † pause in emotion,basic
95,‡,double_dagger,punctuation,Second poetic footnote,ପଦ୍ୟ ଧାରା ‡ ଭାବର ବିରାମ,Poetic line ‡ pause in emotion,basic
96,#,hash,punctuation,Poetic emphasis marker,ପଦ୍ୟ ଧାରା # ଭାବର ବିରାମ,Poetic line # pause in emotion,basic
97,/,slash,punctuation,Poetic line separation,ପଦ୍ୟ ଧାରା / ଭାବର ବିରାମ,Poetic line / pause in emotion,basic
98,\,backslash,punctuation,Reverse poetic flow,ପଦ୍ୟ ଧାରା \ ଭାବର ବିରାମ,Poetic line \ pause in emotion,basic
99,_,underscore,punctuation,Poetic emphasis,ପଦ୍ୟ ଧାରା _ ଭାବର ବିରାମ,Poetic line _ pause in emotion,basic
100,=,equals,punctuation,Poetic equivalence,ପଦ୍ୟ ଧାରା = ଭାବର ବିରାମ,Poetic line = pause in emotion,basic
101,+,plus,punctuation,Poetic addition,ପଦ୍ୟ ଧାରା + ଭାବର ବିରାମ,Poetic line + pause in emotion,basic
102,<,less_than,punctuation,Poetic comparison,ପଦ୍ୟ ଧାରା < ଭାବର ବିରାମ,Poetic line < pause in emotion,basic
103,>,greater_than,punctuation,Poetic comparison,ପଦ୍ୟ ଧାରା > ଭାବର ବିରାମ,Poetic line > pause in emotion,basic
104,^,caret,punctuation,Poetic insertion point,ପଦ୍ୟ ଧାରା ^ ଭାବର ବିରାମ,Poetic line ^ pause in emotion,basic
105,`,backtick,punctuation,Poetic quotation,ପଦ୍ୟ ଧାରା ` ଭାବର ବିରାମ,Poetic line ` pause in emotion,basic
106,',apostrophe,punctuation,Poetic possession or contraction,ପଦ୍ୟ ଧାରା ' ଭାବର ବିରାମ,Poetic line ' pause in emotion,basic
107,"""",quotation,punctuation,Poetic dialogue,"ପଦ୍ୟ ଧାରା "" ଭାବର ବିରାମ","Poetic line "" pause in emotion",basic
108,@,at,punctuation,Poetic addressing,ପଦ୍ୟ ଧାରା @ ଭାବର ବିରାମ,Poetic line @ pause in emotion,basic
109,$,dollar,punctuation,Poetic value marker,ପଦ୍ୟ ଧାରା $ ଭାବର ବିରାମ,Poetic line $ pause in emotion,basic
110,%,percent,punctuation,Poetic proportion,ପଦ୍ୟ ଧାରା % ଭାବର ବିରାମ,Poetic line % pause in emotion,basic
111,&,ampersand,punctuation,Poetic conjunction,ପଦ୍ୟ ଧାରା & ଭାବର ବିରାମ,Poetic line & pause in emotion,basic
112,©,copyright,punctuation,Poetic ownership,ପଦ୍ୟ ଧାରା © ଭାବର ବିରାମ,Poetic line © pause in emotion,basic
113,®,registered,punctuation,Registered poetic mark,ପଦ୍ୟ ଧାରା ® ଭାବର ବିରାମ,Poetic line ® pause in emotion,basic
114,™,trademark,punctuation,Poetic trademark,ପଦ୍ୟ ଧାରା ™ ଭାବର ବିରାମ,Poetic line ™ pause in emotion,basic
115,°,degree,punctuation,Poetic intensity,ପଦ୍ୟ ଧାରା ° ଭାବର ବିରାମ,Poetic line ° pause in emotion,basic
116,±,plus_minus,punctuation,Poetic ambiguity,ପଦ୍ୟ ଧାରା ± ଭାବର ବିରାମ,Poetic line ± pause in emotion,basic
117,×,multiplication,punctuation,Poetic multiplication,ପଦ୍ୟ ଧାରା × ଭାବର ବିରାମ,Poetic line × pause in emotion,basic
118,÷,division,punctuation,Poetic division,ପଦ୍ୟ ଧାରା ÷ ଭାବର ବିରାମ,Poetic line ÷ pause in emotion,basic
119,√,square_root,punctuation,Poetic foundation,ପଦ୍ୟ ଧାରା √ ଭାବର ବିରାମ,Poetic line √ pause in emotion,basic
120,∞,infinity,punctuation,Poetic eternity,ପଦ୍ୟ ଧାରା ∞ ଭାବର ବିରାମ,Poetic line ∞ pause in emotion,basic
121,¿,inverted_question,punctuation,Poetic uncertainty,ପଦ୍ୟ ଧାରା ¿ ଭାବର ବିରାମ,Poetic line ¿ pause in emotion,basic
122,¡,inverted_exclamation,punctuation,Poetic surprise,ପଦ୍ୟ ଧାରା ¡ ଭାବର ବିରାମ,Poetic line ¡ pause in emotion,basic
123,ଏକ,one,numerical,"Unity, solitude, beginning",ଏକ ଟି ଫୁଲ ବଗିଚାରେ,one flowers in the garden,basic
124,ଦୁଇ,two,numerical,"Duality, pairs, companionship",ଦୁଇ ଟି ଫୁଲ ବଗିଚାରେ,two flowers in the garden,basic
125,ତିନି,three,numerical,"Trinity, completeness",ତିନି ଟି ଫୁଲ ବଗିଚାରେ,three flowers in the garden,basic
126,ଚାରି,four,numerical,"Directions, stability",ଚାରି ଟି ଫୁଲ ବଗିଚାରେ,four flowers in the garden,basic
127,ପାଞ୍ଚ,five,numerical,"Elements, senses",ପାଞ୍ଚ ଟି ଫୁଲ ବଗିଚାରେ,five flowers in the garden,basic
128,ଛଅ,six,numerical,"Seasons, dimensions",ଛଅ ଟି ଫୁଲ ବଗିଚାରେ,six flowers in the garden,basic
129,ସାତ,seven,numerical,"Days, wonders, sacred",ସାତ ଟି ଫୁଲ ବଗିଚାରେ,seven flowers in the garden,basic
130,ଆଠ,eight,numerical,"Directions, prosperity",ଆଠ ଟି ଫୁଲ ବଗିଚାରେ,eight flowers in the garden,basic
131,ନଅ,nine,numerical,"Planets, completeness",ନଅ ଟି ଫୁଲ ବଗିଚାରେ,nine flowers in the garden,basic
132,ଦଶ,ten,numerical,"Perfection, commandments",ଦଶ ଟି ଫୁଲ ବଗିଚାରେ,ten flowers in the garden,basic
133,ଏକାଦଶ,eleven,numerical,Spiritual significance,ଏକାଦଶ ଟି ଫୁଲ ବଗିଚାରେ,eleven flowers in the garden,basic
134,ଦ୍ୱାଦଶ,twelve,numerical,"Months, zodiac signs",ଦ୍ୱାଦଶ ଟି ଫୁଲ ବଗିଚାରେ,twelve flowers in the garden,basic
135,ତ୍ରୟୋଦଶ,thirteen,numerical,Mystical number,ତ୍ରୟୋଦଶ ଟି ଫୁଲ ବଗିଚାରେ,thirteen flowers in the garden,basic
136,ଚତୁର୍ଦ୍ଦଶ,fourteen,numerical,Lunar days,ଚତୁର୍ଦ୍ଦଶ ଟି ଫୁଲ ବଗିଚାରେ,fourteen flowers in the garden,basic
137,ପଞ୍ଚଦଶ,fifteen,numerical,Lunar phase,ପଞ୍ଚଦଶ ଟି ଫୁଲ ବଗିଚାରେ,fifteen flowers in the garden,basic
138,ଷୋଡଶ,sixteen,numerical,"Sweet sixteen, beauty",ଷୋଡଶ ଟି ଫୁଲ ବଗିଚାରେ,sixteen flowers in the garden,basic
139,ସପ୍ତଦଶ,seventeen,numerical,Youthful age,ସପ୍ତଦଶ ଟି ଫୁଲ ବଗିଚାରେ,seventeen flowers in the garden,basic
140,ଅଷ୍ଟାଦଶ,eighteen,numerical,Sacred texts chapters,ଅଷ୍ଟାଦଶ ଟି ଫୁଲ ବଗିଚାରେ,eighteen flowers in the garden,basic
141,ଊନବିଂଶ,nineteen,numerical,Transition number,ଊନବିଂଶ ଟି ଫୁଲ ବଗିଚାରେ,nineteen flowers in the garden,basic
142,ବିଂଶ,twenty,numerical,Complete count,ବିଂଶ ଟି ଫୁଲ ବଗିଚାରେ,twenty flowers in the garden,basic
143,ଏକୋଇଶ,twenty-one,numerical,Coming of age,ଏକୋଇଶ ଟି ଫୁଲ ବଗିଚାରେ,twenty-one flowers in the garden,basic
144,ବାଇଶ,twenty-two,numerical,Mystical paths,ବାଇଶ ଟି ଫୁଲ ବଗିଚାରେ,twenty-two flowers in the garden,basic
