poem_id,line_number,previous_scheme,english_line,line_ending_word,rhyme_scheme_label,total_lines_in_poem,stanza_pattern
37,4,STARTABC,Your bonnie brow was brent,brent,B,4,ABCB
38,1,START,Is there for honest poverty,poverty,A,4,ABCB
38,2,STARTA,That hings his head and a' that,that,B,4,ABCB
38,3,STARTAB,The coward slave we pass him by,by,C,4,ABCB
38,4,STARTABC,We dare be poor for a' that,that,B,4,ABCB
39,1,START,O were my love yon lilac fair,fair,A,4,ABCB
39,2,STARTA,Wi purple blossoms to the spring,spring,B,4,ABCB
39,3,STARTAB,And I a bird to shelter there,there,C,4,ABCB
39,4,STARTABC,When wearied on my little wing,wing,B,4,ABCB
40,1,START,I'm Nobody Who are you,you,A,4,ABCD
40,2,STARTA,Are you Nobody too,too,B,4,ABCD
40,3,STARTAB,Then there's a pair of us don't tell,tell,C,4,ABCD
40,4,STARTABC,They'd banish us you know,know,D,4,ABCD
41,1,START,Success is counted sweetest,sweetest,A,4,ABCB
41,2,STARTA,By those who ne'er succeed,succeed,B,4,ABCB
41,3,STARTAB,To comprehend a nectar,nectar,C,4,ABCB
41,4,STARTABC,Requires sorest need,need,B,4,ABCB
42,1,START,Tell all the truth but tell it slant,slant,A,4,ABCD
42,2,STARTA,Success in circuit lies,lies,B,4,ABCD
42,3,STARTAB,Too bright for our infirm delight,delight,C,4,ABCD
42,4,STARTABC,The truth's superb surprise,surprise,D,4,ABCD
43,1,START,The brain is wider than the sky,sky,A,4,ABCD
43,2,STARTA,For put them side by side,side,B,4,ABCD
43,3,STARTAB,The one the other will contain,contain,C,4,ABCD
43,4,STARTABC,With ease and you beside,beside,D,4,ABCD
44,1,START,I heard a fly buzz when I died,died,A,4,ABCD
44,2,STARTA,The stillness in the room,room,B,4,ABCD
44,3,STARTAB,Was like the stillness in the air,air,C,4,ABCD
44,4,STARTABC,Between the heaves of storm,storm,D,4,ABCD
45,1,START,Wild nights wild nights,nights,A,4,ABCD
45,2,STARTA,Were I with thee,thee,B,4,ABCD
45,3,STARTAB,Wild nights should be,be,C,4,ABCD
45,4,STARTABC,Our luxury,luxury,D,4,ABCD
46,1,START,There is no frigate like a book,book,A,4,ABCD
46,2,STARTA,To take us lands away,away,B,4,ABCD
46,3,STARTAB,Nor any coursers like a page,page,C,4,ABCD
46,4,STARTABC,Of prancing poetry,poetry,D,4,ABCD
47,1,START,A bird came down the walk,walk,A,4,ABCB
47,2,STARTA,He did not know I saw,saw,B,4,ABCB
47,3,STARTAB,He bit an angle worm in halves,halves,C,4,ABCB
47,4,STARTABC,And ate the fellow raw,raw,B,4,ABCB
48,1,START,Hope is the thing with feathers,feathers,A,4,ABCD
48,2,STARTA,That perches in the soul,soul,B,4,ABCD
48,3,STARTAB,And sings the tune without the words,words,C,4,ABCD
48,4,STARTABC,And never stops at all,all,D,4,ABCD
49,1,START,Because I could not stop for Death,death,A,4,ABCD
49,2,STARTA,He kindly stopped for me,me,B,4,ABCD
49,3,STARTAB,The Carriage held but just Ourselves,ourselves,C,4,ABCD
49,4,STARTABC,And Immortality,immortality,D,4,ABCD
50,1,START,I died for Beauty but was scarce,scarce,A,4,ABCD
50,2,STARTA,Adjusted in the Tomb,tomb,B,4,ABCD
50,3,STARTAB,When One who died for Truth was lain,lain,C,4,ABCD
50,4,STARTABC,In an adjoining Room,room,D,4,ABCD
51,1,START,The Soul selects her own Society,society,A,4,ABCD
51,2,STARTA,Then shuts the Door,door,B,4,ABCD
51,3,STARTAB,To her divine Majority,majority,C,4,ABCD
51,4,STARTABC,Present no more,more,D,4,ABCD
52,1,START,I felt a Funeral in my Brain,brain,A,4,ABCD
52,2,STARTA,And Mourners to and fro,fro,B,4,ABCD
52,3,STARTAB,Kept treading treading till it seemed,seemed,C,4,ABCD
52,4,STARTABC,That Sense was breaking through,through,D,4,ABCD
53,1,START,This is my letter to the World,world,A,4,ABCD
53,2,STARTA,That never wrote to Me,me,B,4,ABCD
53,3,STARTAB,The simple News that Nature told,told,C,4,ABCD
53,4,STARTABC,With tender Majesty,majesty,D,4,ABCD
54,1,START,A narrow Fellow in the Grass,grass,A,4,ABCD
54,2,STARTA,Occasionally rides,rides,B,4,ABCD
54,3,STARTAB,You may have met Him did you not,not,C,4,ABCD
54,4,STARTABC,His notice sudden is,is,D,4,ABCD
55,1,START,O Captain my Captain our fearful trip is done,done,A,4,ABCC
55,2,STARTA,The ship has weathered every rack the prize we sought is won,won,B,4,ABCC
55,3,STARTAB,The port is near the bells I hear the people all exulting,exulting,C,4,ABCC
55,4,STARTABC,While follow eyes the steady keel the vessel grim and daring,daring,C,4,ABCC
56,1,START,I hear America singing the varied carols I hear,hear,A,4,ABCD
56,2,STARTA,Those of mechanics each one singing his as it should be blithe and strong,strong,B,4,ABCD
56,3,STARTAB,The carpenter singing his as he measures his plank or beam,beam,C,4,ABCD
56,4,STARTABC,The mason singing his as he makes ready for work or leaves off work,work,D,4,ABCD
57,1,START,When I heard the learn'd astronomer,astronomer,A,4,ABCD
57,2,STARTA,When the proofs the figures were ranged in columns before me,me,B,4,ABCD
57,3,STARTAB,When I was shown the charts and diagrams,diagrams,C,4,ABCD
57,4,STARTABC,To add divide and measure them,them,D,4,ABCD
58,1,START,A noiseless patient spider,spider,A,4,ABCD
58,2,STARTA,I mark'd where on a little promontory it stood isolated,isolated,B,4,ABCD
58,3,STARTAB,Mark'd how to explore the vacant vast surrounding,surrounding,C,4,ABCD
58,4,STARTABC,It launch'd forth filament filament filament out of itself,itself,D,4,ABCD
59,1,START,I celebrate myself and sing myself,myself,A,4,ABCD
59,2,STARTA,And what I assume you shall assume,assume,B,4,ABCD
59,3,STARTAB,For every atom belonging to me as good belongs to you,you,C,4,ABCD
59,4,STARTABC,I loafe and invite my soul,soul,D,4,ABCD
60,1,START,Out of the cradle endlessly rocking,rocking,A,4,ABCD
60,2,STARTA,Out of the mocking bird's throat the musical shuttle,shuttle,B,4,ABCD
60,3,STARTAB,Out of the Ninth month midnight,midnight,C,4,ABCD
60,4,STARTABC,Over the sterile sands and the fields beyond,beyond,D,4,ABCD
61,1,START,When lilacs last in the dooryard bloom'd,bloom'd,A,4,ABCC
61,2,STARTA,And the great star early droop'd in the western sky in the night,night,B,4,ABCC
61,3,STARTAB,I mourn'd and yet shall mourn with ever returning spring,spring,C,4,ABCC
61,4,STARTABC,Ever returning spring trinity sure to me you bring,bring,C,4,ABCC
62,1,START,To the garden the world anew ascending,ascending,A,4,AAAB
62,2,STARTA,Potent mates daughters sons preluding,preluding,A,4,AAAB
62,3,STARTAA,The love the life of their bodies meaning and being,being,A,4,AAAB
62,4,STARTAAA,Curious here behold my resurrection after slumber,slumber,B,4,AAAB
63,1,START,She walks in beauty like the night,night,A,4,ABAB
63,2,STARTA,Of cloudless climes and starry skies,skies,B,4,ABAB
63,3,STARTAB,And all that's best of dark and bright,bright,A,4,ABAB
63,4,STARTABA,Meet in her aspect and her eyes,eyes,B,4,ABAB
64,1,START,The Assyrian came down like the wolf on the fold,fold,A,4,AABC
64,2,STARTA,And his cohorts were gleaming in purple and gold,gold,A,4,AABC
64,3,STARTAA,And the sheen of their spears was like stars on the sea,sea,B,4,AABC
64,4,STARTAAB,When the blue wave rolls nightly on deep Galilee,galilee,C,4,AABC
65,1,START,So we'll go no more a roving,roving,A,4,ABAB
65,2,STARTA,So late into the night,night,B,4,ABAB
65,3,STARTAB,Though the heart be still as loving,loving,A,4,ABAB
65,4,STARTABA,And the moon be still as bright,bright,B,4,ABAB
66,1,START,When we two parted,parted,A,4,ABAB
66,2,STARTA,In silence and tears,tears,B,4,ABAB
66,3,STARTAB,Half broken hearted,hearted,A,4,ABAB
66,4,STARTABA,To sever for years,years,B,4,ABAB
67,1,START,There be none of Beauty's daughters,daughters,A,4,ABAC
67,2,STARTA,With a magic like thee,thee,B,4,ABAC
67,3,STARTAB,And like music on the waters,waters,A,4,ABAC
67,4,STARTABA,Is thy sweet voice to me,me,C,4,ABAC
68,1,START,The castled crag of Drachenfels,drachenfels,A,4,ABCD
68,2,STARTA,Frowns o'er the wide and winding Rhine,rhine,B,4,ABCD
68,3,STARTAB,Whose breast of waters broadly swells,swells,C,4,ABCD
68,4,STARTABC,Between the banks which bear the vine,vine,D,4,ABCD
69,1,START,Maid of Athens ere we part,part,A,4,AABC
69,2,STARTA,Give oh give me back my heart,heart,A,4,AABC
69,3,STARTAA,Or since that has left my breast,breast,B,4,AABC
69,4,STARTAAB,Keep it now and take the rest,rest,C,4,AABC
70,1,START,And thou art dead as young and fair,fair,A,4,ABCD
70,2,STARTA,As aught of mortal birth,birth,B,4,ABCD
70,3,STARTAB,And form so soft and charm so rare,rare,C,4,ABCD
70,4,STARTABC,Too soon return'd to Earth,earth,D,4,ABCD
71,1,START,Bright star would I were steadfast as thou art,art,A,4,ABAC
71,2,STARTA,Not in lone splendor hung aloft the night,night,B,4,ABAC
71,3,STARTAB,And watching with eternal lids apart,apart,A,4,ABAC
71,4,STARTABA,Like nature's patient sleepless Eremite,eremite,C,4,ABAC
72,1,START,A thing of beauty is a joy forever,forever,A,4,AABB
72,2,STARTA,Its loveliness increases it will never,never,A,4,AABB
72,3,STARTAA,Pass into nothingness but still will keep,keep,B,4,AABB
72,4,STARTAAB,A bower quiet for us and a sleep,sleep,B,4,AABB
73,1,START,Season of mists and mellow fruitfulness,fruitfulness,A,4,ABAB
73,2,STARTA,Close bosom friend of the maturing sun,sun,B,4,ABAB
73,3,STARTAB,Conspiring with him how to load and bless,bless,A,4,ABAB
73,4,STARTABA,With fruit the vines that round the thatch eaves run,run,B,4,ABAB
74,1,START,When I have fears that I may cease to be,be,A,4,ABCB
74,2,STARTA,Before my pen has gleaned my teeming brain,brain,B,4,ABCB
74,3,STARTAB,Before high piled books in charactery,charactery,C,4,ABCB
74,4,STARTABC,Hold like rich garners the full ripened grain,grain,B,4,ABCB
75,1,START,Much have I traveled in the realms of gold,gold,A,4,ABBA
75,2,STARTA,And many goodly states and kingdoms seen,seen,B,4,ABBA
75,3,STARTAB,Round many western islands have I been,been,B,4,ABBA
75,4,STARTABB,Which bards in fealty to Apollo hold,hold,A,4,ABBA
76,1,START,O what can ail thee knight at arms,arms,A,4,ABCB
76,2,STARTA,Alone and palely loitering,loitering,B,4,ABCB
76,3,STARTAB,The sedge has withered from the lake,lake,C,4,ABCB
76,4,STARTABC,And no birds sing,sing,B,4,ABCB
77,1,START,My heart aches and a drowsy numbness pains,pains,A,4,ABAB
77,2,STARTA,My sense as though of hemlock I had drunk,drunk,B,4,ABAB
77,3,STARTAB,Or emptied some dull opiate to the drains,drains,A,4,ABAB
77,4,STARTABA,One minute past and Lethe wards had sunk,sunk,B,4,ABAB
78,1,START,In a drear nighted December,december,A,4,ABAC
78,2,STARTA,Too happy happy tree,tree,B,4,ABAC
78,3,STARTAB,Thy branches ne'er remember,remember,A,4,ABAC
78,4,STARTABA,Their green felicity,felicity,C,4,ABAC
79,1,START,The poetry of earth is never dead,dead,A,4,ABBA
79,2,STARTA,When all the birds are faint with the hot sun,sun,B,4,ABBA
79,3,STARTAB,And hide in cooling trees a voice will run,run,B,4,ABBA
79,4,STARTABB,From hedge to hedge about the new mown mead,mead,A,4,ABBA
80,1,START,Four seasons fill the measure of the year,year,A,4,ABAB
80,2,STARTA,There are four seasons in the mind of man,man,B,4,ABAB
80,3,STARTAB,He has his lusty Spring when fancy clear,clear,A,4,ABAB
80,4,STARTABA,Takes in all beauty with an easy span,span,B,4,ABAB
81,1,START,I met a traveler from an antique land,land,A,4,ABAC
81,2,STARTA,Who said Two vast and trunkless legs of stone,stone,B,4,ABAC
81,3,STARTAB,Stand in the desert Near them on the sand,sand,A,4,ABAC
81,4,STARTABA,Half sunk a shattered visage lies,lies,C,4,ABAC
82,1,START,The fountains mingle with the river,river,A,4,ABAC
82,2,STARTA,And the rivers with the ocean,ocean,B,4,ABAC
82,3,STARTAB,The winds of heaven mix forever,forever,A,4,ABAC
82,4,STARTABA,With a sweet emotion,emotion,C,4,ABAC
83,1,START,Music when soft voices die,die,A,4,ABCC
83,2,STARTA,Vibrates in the memory,memory,B,4,ABCC
83,3,STARTAB,Odors when sweet violets sicken,sicken,C,4,ABCC
83,4,STARTABC,Live within the sense they quicken,quicken,C,4,ABCC
84,1,START,One word is too often profaned,profaned,A,4,ABAB
84,2,STARTA,For me to profane it,it,B,4,ABAB
84,3,STARTAB,One feeling too falsely disdained,disdained,A,4,ABAB
84,4,STARTABA,For thee to disdain it,it,B,4,ABAB
85,1,START,Hail to thee blithe Spirit,spirit,A,4,ABAC
85,2,STARTA,Bird thou never wert,wert,B,4,ABAC
85,3,STARTAB,That from Heaven or near it,it,A,4,ABAC
85,4,STARTABA,Pourest thy full heart,heart,C,4,ABAC
86,1,START,The world's great age begins anew,anew,A,4,ABAC
86,2,STARTA,The golden years return,return,B,4,ABAC
86,3,STARTAB,The earth doth like a snake renew,renew,A,4,ABAC
86,4,STARTABA,Her winter weeds outworn,outworn,C,4,ABAC
87,1,START,I weep for Adonais he is dead,dead,A,4,ABAB
87,2,STARTA,O weep for Adonais though our tears,tears,B,4,ABAB
87,3,STARTAB,Thaw not the frost which binds so dear a head,head,A,4,ABAB
87,4,STARTABA,And thou sad Hour selected from all years,years,B,4,ABAB
88,1,START,Rarely rarely comest thou,thou,A,4,ABCB
88,2,STARTA,Spirit of Delight,delight,B,4,ABCB
88,3,STARTAB,Wherefore hast thou left me now,now,C,4,ABCB
88,4,STARTABC,Many a day and night,night,B,4,ABCB
89,1,START,Half a league half a league,league,A,4,ABCD
89,2,STARTA,Half a league onward,onward,B,4,ABCD
89,3,STARTAB,All in the valley of Death,death,C,4,ABCD
89,4,STARTABC,Rode the six hundred,hundred,D,4,ABCD
90,1,START,Break break break,break,A,4,ABCD
90,2,STARTA,On thy cold gray stones O Sea,sea,B,4,ABCD
90,3,STARTAB,And I would that my tongue could utter,utter,C,4,ABCD
90,4,STARTABC,The thoughts that arise in me,me,D,4,ABCD
91,1,START,The splendor falls on castle walls,walls,A,4,ABCB
91,2,STARTA,And snowy summits old in story,story,B,4,ABCB
91,3,STARTAB,The long light shakes across the lakes,lakes,C,4,ABCB
91,4,STARTABC,And the wild cataract leaps in glory,glory,B,4,ABCB
92,1,START,Come into the garden Maud,maud,A,4,ABAC
92,2,STARTA,For the black bat night has flown,flown,B,4,ABAC
92,3,STARTAB,Come into the garden Maud,maud,A,4,ABAC
92,4,STARTABA,I am here at the gate alone,alone,C,4,ABAC
93,1,START,Sunset and evening star,star,A,4,ABAC
93,2,STARTA,And one clear call for me,me,B,4,ABAC
93,3,STARTAB,And may there be no moaning of the bar,bar,A,4,ABAC
93,4,STARTABA,When I put out to sea,sea,C,4,ABAC
94,1,START,It is the miller's daughter,daughter,A,4,ABCB
94,2,STARTA,And she is grown so dear so dear,dear,B,4,ABCB
94,3,STARTAB,That I would be the jewel,jewel,C,4,ABCB
94,4,STARTABC,That trembles in her ear,ear,B,4,ABCB
95,1,START,Now sleeps the crimson petal now the white,white,A,4,ABCD
95,2,STARTA,Nor waves the cypress in the palace walk,walk,B,4,ABCD
95,3,STARTAB,Nor winks the gold fin in the porphyry font,font,C,4,ABCD
95,4,STARTABC,The firefly wakens waken thou with me,me,D,4,ABCD
96,1,START,Flower in the crannied wall,wall,A,4,ABCC
96,2,STARTA,I pluck you out of the crannies,crannies,B,4,ABCC
96,3,STARTAB,I hold you here root and all in my hand,hand,C,4,ABCC
96,4,STARTABC,Little flower but if I could understand,understand,C,4,ABCC
97,1,START,The woods decay the woods decay and fall,fall,A,4,ABCD
97,2,STARTA,The vapors weep their burthen to the ground,ground,B,4,ABCD
97,3,STARTAB,Man comes and tills the field and lies beneath,beneath,C,4,ABCD
97,4,STARTABC,And after many a summer dies the swan,swan,D,4,ABCD
98,1,START,Of old sat Freedom on the heights,heights,A,4,ABAB
98,2,STARTA,The thunders breaking at her feet,feet,B,4,ABAB
98,3,STARTAB,Above her shook the starry lights,lights,A,4,ABAB
98,4,STARTABA,She heard the torrents meet,meet,B,4,ABAB
99,1,START,When I am dead my dearest,dearest,A,4,ABCD
99,2,STARTA,Sing no sad songs for me,me,B,4,ABCD
99,3,STARTAB,Plant thou no roses at my head,head,C,4,ABCD
99,4,STARTABC,Nor shady cypress tree,tree,D,4,ABCD
100,1,START,My heart is like a singing bird,bird,A,4,ABCD
100,2,STARTA,Whose nest is in a watered shoot,shoot,B,4,ABCD
100,3,STARTAB,My heart is like an apple tree,tree,C,4,ABCD
100,4,STARTABC,Whose boughs are bent with thickset fruit,fruit,D,4,ABCD
101,1,START,Remember me when I am gone away,away,A,4,ABBA
101,2,STARTA,Gone far away into the silent land,land,B,4,ABBA
101,3,STARTAB,When you can no more hold me by the hand,hand,B,4,ABBA
101,4,STARTABB,Nor I half turn to go yet turning stay,stay,A,4,ABBA
102,1,START,Does the road wind uphill all the way,way,A,4,ABAB
102,2,STARTA,Yes to the very end,end,B,4,ABAB
102,3,STARTAB,Will the day's journey take the whole long day,day,A,4,ABAB
102,4,STARTABA,From morn to night my friend,friend,B,4,ABAB
103,1,START,In the bleak mid winter,winter,A,4,ABCD
103,2,STARTA,Frosty wind made moan,moan,B,4,ABCD
103,3,STARTAB,Earth stood hard as iron,iron,C,4,ABCD
103,4,STARTABC,Water like a stone,stone,D,4,ABCD
104,1,START,The summer nights are short,short,A,4,ABCB
104,2,STARTA,Where northern days are long,long,B,4,ABCB
104,3,STARTAB,For years and years have I been waiting,waiting,C,4,ABCB
104,4,STARTABC,The burden of a song,song,B,4,ABCB
105,1,START,O roses for the flush of youth,youth,A,4,ABCD
105,2,STARTA,And laurel for the perfect prime,prime,B,4,ABCD
105,3,STARTAB,But pluck an ivy branch for me,me,C,4,ABCD
